neighborhood,police_force_incidents_count,median_income_total,white_pct,of_color_pct
Downtown West,7680,$60.4k,0.601,0.3994803909439564
Jordan,1428,$45.9k,0.175,0.8246942341292953
Hawthorne,1301,$40.4k,0.218,0.7820648717405131
Near - North,1278,$47.1k,0.154,0.8460157436818119
Willard - Hay,985,$62.9k,0.276,0.7236180904522613
Folwell,889,$40.9k,0.326,0.6738070358760014
Ventura Village,797,$27.7k,0.252,0.7482506608614523
Lowry Hill East,711,$62.0k,0.7709999999999999,0.22857142857142854
Whittier,690,$38.4k,0.608,0.3916296139459383
Marcy Holmes,590,$45.4k,0.762,0.2383134082611497
North Loop,534,$66.4k,0.763,0.23685918234912395
Longfellow,533,$59.9k,0.645,0.3551383399209486
Loring Park,531,$48.8k,0.7340000000000001,0.2655348424323125
Midtown Phillips,496,$33.5k,0.396,0.6042489189697312
Central,490,$51.9k,0.433,0.5669539881024644
Webber - Camden,485,$48.8k,0.439,0.5609127714390872
Phillips West,481,$34.9k,0.263,0.7366684991753709
Elliot Park,465,$37.1k,0.58,0.4199720018665422
Lyndale,427,$49.7k,0.588,0.41183067003083823
Powderhorn Park,423,$53.7k,0.564,0.436213161081954
Cedar Riverside,326,$24.9k,0.32,0.6801788375558867
Holland,314,$56.0k,0.546,0.4539184952978057
Steven's Square - Loring Heights,312,$34.0k,0.633,0.36724047991653613
Lind - Bohanon,249,$52.9k,0.4270000000000001,0.5726872246696035
Seward,235,$44.7k,0.527,0.4733961303462322
Corcoran,221,$55.3k,0.636,0.36392051797276176
South Uptown,216,$62.1k,0.86,0.1399051490514905
Victory,208,$55.8k,0.6759999999999999,0.3237704918032787
King Field,191,$83.5k,0.8270000000000001,0.17287551372133106
Como,186,$57.6k,0.722,0.2782332273715911
Prospect Park - East River Road,179,$53.5k,0.672,0.3275825194268197
Audubon Park,165,$67.3k,0.7879999999999999,0.21164744967754545
Standish,148,$70.5k,0.778,0.2215541165587419
Windom Park,139,$62.3k,0.8240000000000001,0.17575757575757575
Wenonah,129,$89.3k,0.7290000000000001,0.2710532225465978
Howe,129,$71.0k,0.7959999999999999,0.204094103269172
Sheridan,120,$51.9k,0.7290000000000001,0.2711418229680816
Waite Park,119,$73.8k,0.86,0.1400693051249316
Windom,106,$105.6k,0.7390000000000001,0.2608861726508785
East Isles,105,$80.0k,0.889,0.111
Lowry Hill,103,$83.8k,0.843,0.15682751540041068
Bancroft,99,$71.5k,0.7340000000000001,0.2660835214446953
Hiawatha,98,$72.5k,0.816,0.1835724043715847
Tangletown,88,$118.8k,0.88,0.11945921985815602
Northrop,73,$92.8k,0.7909999999999999,0.2091629201455791
Fulton,62,$136.8k,0.916,0.08418568056648308
Minnehaha,61,$69.8k,0.8079999999999999,0.19185059422750425
Diamond Lake,61,$97.2k,0.768,0.23160999306037475
Cooper,61,$77.8k,0.8140000000000001,0.18565629228687416
Linden Hills,60,$128.0k,0.904,0.09642764690654933
East Harriet,59,$83.2k,0.861,0.1386577925679423
Ericsson,53,$80.3k,0.851,0.14890552995391704
Lynnhurst,50,$120.1k,0.887,0.11298947731585306
Armatage,36,$125.3k,0.845,0.15505090054815976
Cedar - Isles - Dean,26,$98.2k,0.916,0.08400000000000005
Kenny,14,$112.5k,0.857,0.14300000000000002
